Rank,Name,Platform,Genre,Year,Publisher
84,The Sims 3,PC,Simulation,2009.0,Electronic Arts
85,GoldenEye 007,N64,Shooter,1997.0,Nintendo
86,Mario & Sonic at the Olympic Games,Wii,Sports,2007.0,Sega
87,Final Fantasy X,PS2,Role-Playing,2001.0,Sony Computer Entertainment
88,Final Fantasy VIII,PS,Role-Playing,1999.0,SquareSoft
89,Pokémon Platinum Version,DS,Role-Playing,2008.0,Nintendo
90,Pac-Man,2600,Puzzle,1982.0,Atari
91,Grand Theft Auto: Liberty City Stories,PSP,Action,2005.0,Take-Two Interactive
92,Super Mario Galaxy 2,Wii,Platform,2010.0,Nintendo
93,Star Wars Battlefront (2015),PS4,Shooter,2015.0,Electronic Arts
94,Call of Duty: Advanced Warfare,PS4,Shooter,2014.0,Activision
95,The Legend of Zelda: Ocarina of Time,N64,Action,1998.0,Nintendo
96,Crash Bandicoot 2: Cortex Strikes Back,PS,Platform,1997.0,Sony Computer Entertainment
97,Super Mario Bros. 2,NES,Platform,1988.0,Nintendo
98,Super Smash Bros. for Wii U and 3DS,3DS,Fighting,2014.0,Nintendo
99,Call of Duty: World at War,X360,Shooter,2008.0,Activision
100,Battlefield 3,X360,Shooter,2011.0,Electronic Arts
101,The Legend of Zelda: Twilight Princess,Wii,Action,2006.0,Nintendo
102,Call of Duty: Black Ops 3,XOne,Shooter,2015.0,Activision
103,Just Dance,Wii,Misc,2009.0,Ubisoft
104,Battlefield 3,PS3,Shooter,2011.0,Electronic Arts
105,Need for Speed Underground,PS2,Racing,2003.0,Electronic Arts
106,Tekken 3,PS,Fighting,1998.0,Sony Computer Entertainment
107,Crash Bandicoot 3: Warped,PS,Platform,1998.0,Sony Computer Entertainment
108,Super Smash Bros. Melee,GC,Fighting,2001.0,Nintendo
109,Mario Kart 8,WiiU,Racing,2014.0,Nintendo
110,Fallout 4,PS4,Role-Playing,2015.0,Bethesda Softworks
111,Mario Kart: Double Dash!!,GC,Racing,2003.0,Nintendo
112,Just Dance 4,Wii,Misc,2012.0,Ubisoft
113,FIFA 14,PS3,Sports,2013.0,Electronic Arts
114,Need for Speed Underground 2,PS2,Racing,2004.0,Electronic Arts
115,Medal of Honor: Frontline,PS2,Shooter,2002.0,Electronic Arts
116,Uncharted 3: Drake's Deception,PS3,Action,2011.0,Sony Computer Entertainment
117,Crash Bandicoot,PS,Platform,1996.0,Sony Computer Entertainment
118,Zumba Fitness,Wii,Sports,2010.0,505 Games
119,Gears of War 2,X360,Shooter,2008.0,Microsoft Game Studios
120,Uncharted 2: Among Thieves,PS3,Action,2009.0,Sony Computer Entertainment
121,Call of Duty 4: Modern Warfare,PS3,Shooter,2007.0,Activision
122,FIFA 12,PS3,Sports,2011.0,Electronic Arts
123,Big Brain Academy,DS,Misc,2005.0,Nintendo
124,Red Dead Redemption,PS3,Action,2010.0,Take-Two Interactive
125,FIFA 15,PS4,Sports,2014.0,Electronic Arts
126,Donkey Kong Country Returns,Wii,Platform,2010.0,Nintendo
127,The Elder Scrolls V: Skyrim,PS3,Role-Playing,2011.0,Bethesda Softworks
128,The Legend of Zelda,NES,Action,1986.0,Nintendo
129,Assassin's Creed III,PS3,Action,2012.0,Ubisoft
130,Halo: Combat Evolved,XB,Shooter,2001.0,Microsoft Game Studios
131,Pokémon Emerald Version,GBA,Role-Playing,2004.0,Nintendo
132,Kingdom Hearts,PS2,Role-Playing,2002.0,Sony Computer Entertainment
133,Pokémon Crystal Version,GB,Role-Playing,2000.0,Nintendo
134,Halo 3: ODST,X360,Shooter,2009.0,Microsoft Game Studios
135,Red Dead Redemption,X360,Action,2010.0,Take-Two Interactive
136,Super Mario Sunshine,GC,Platform,2002.0,Nintendo
137,Street Fighter II: The World Warrior,SNES,Fighting,1992.0,Capcom
138,World of Warcraft,PC,Role-Playing,2004.0,Activision
139,Driver,PS,Action,1999.0,GT Interactive
140,Kinect Sports,X360,Sports,2010.0,Microsoft Game Studios
141,Gears of War 3,X360,Shooter,2011.0,Microsoft Game Studios
142,Gears of War,X360,Shooter,2006.0,Microsoft Game Studios
143,Metal Gear Solid 2: Sons of Liberty,PS2,Action,2001.0,Konami Digital Entertainment
144,Sonic the Hedgehog 2,GEN,Platform,1992.0,Sega
145,Metal Gear Solid 4: Guns of the Patriots,PS3,Action,2008.0,Konami Digital Entertainment
146,Metal Gear Solid,PS,Action,1998.0,Konami Digital Entertainment
147,The Last of Us,PS3,Action,2013.0,Sony Computer Entertainment Europe
148,Final Fantasy XII,PS2,Role-Playing,2006.0,Square Enix
149,LittleBigPlanet,PS3,Platform,2008.0,Sony Computer Entertainment
150,Dragon Quest IX: Sentinels of the Starry Skies,DS,Role-Playing,2009.0,Nintendo
151,LEGO Star Wars: The Complete Saga,Wii,Action,2007.0,LucasArts
152,Resident Evil 2,PS,Action,1998.0,Virgin Interactive
153,Tekken 2,PS,Fighting,1996.0,Sony Computer Entertainment
154,Cooking Mama,DS,Simulation,2006.0,505 Games
155,Destiny,PS4,Shooter,2014.0,Activision
156,Tetris,NES,Puzzle,1988.0,Nintendo
157,Assassin's Creed II,PS3,Action,2009.0,Ubisoft
158,Super Smash Bros.,N64,Fighting,1999.0,Nintendo
159,Assassin's Creed,X360,Adventure,2007.0,Ubisoft
160,Batman: Arkham City,PS3,Action,2011.0,Warner Bros. Interactive Entertainment
161,Forza Motorsport 3,X360,Racing,2009.0,Microsoft Game Studios
162,Monster Hunter Freedom Unite,PSP,Role-Playing,2008.0,Capcom
163,Super Mario Advance,GBA,Platform,2001.0,Nintendo
164,Mario Kart: Super Circuit,GBA,Racing,2001.0,Nintendo
165,Super Mario World,GBA,Platform,2001.0,Nintendo
166,Pokemon Stadium,N64,Strategy,1999.0,Nintendo
167,Call of Duty: World at War,PS3,Shooter,2008.0,Activision
168,Crash Bandicoot: The Wrath of Cortex,PS2,Platform,2001.0,Universal Interactive
169,Minecraft,PS3,Misc,2014.0,Sony Computer Entertainment
170,Final Fantasy XIII,PS3,Role-Playing,2009.0,Square Enix
171,Dr. Mario,GB,Puzzle,1989.0,Nintendo
172,Pokemon Pinball,GB,Misc,1999.0,Nintendo
173,Assassin's Creed III,X360,Action,2012.0,Ubisoft
174,Final Fantasy IX,PS,Role-Playing,2000.0,SquareSoft
175,Final Fantasy X-2,PS2,Role-Playing,2003.0,Electronic Arts
176,Donkey Kong 64,N64,Platform,1999.0,Nintendo
177,Assassin's Creed II,X360,Action,2009.0,Ubisoft
178,Professor Layton and the Curious Village,DS,Puzzle,2007.0,Nintendo
179,Tomb Raider II,PS,Action,1997.0,Eidos Interactive
181,Dragon Quest VIII: Journey of the Cursed King,PS2,Role-Playing,2004.0,Square Enix
182,Diablo III,PC,Role-Playing,2012.0,Activision
183,Super Mario Bros. 3,GBA,Platform,2003.0,Nintendo
184,New Super Mario Bros. U,WiiU,Platform,2012.0,Nintendo
185,Super Mario Land 3: Wario Land,GB,Platform,1994.0,Nintendo
186,FIFA Soccer 13,X360,Action,2012.0,Electronic Arts
187,The Legend of Zelda: Phantom Hourglass,DS,Action,2007.0,Nintendo
188,Donkey Kong Country 2: Diddy's Kong Quest,SNES,Platform,1995.0,Nintendo
189,Tomodachi Life,3DS,Simulation,2013.0,Nintendo
190,Mario & Sonic at the Olympic Games,DS,Sports,2008.0,Sega
191,Medal of Honor: Rising Sun,PS2,Shooter,2003.0,Electronic Arts
192,Kirby's Dream Land,GB,Platform,1992.0,Nintendo
193,Fable III,X360,Role-Playing,2010.0,Microsoft Game Studios
194,Call of Duty: Advanced Warfare,XOne,Shooter,2014.0,Activision
195,Microsoft Flight Simulator,PC,Simulation,1996.0,Microsoft Game Studios
196,Guitar Hero II,PS2,Misc,2006.0,RedOctane
197,Resident Evil 5,PS3,Action,2009.0,Capcom
198,Grand Theft Auto V,XOne,Action,2014.0,Take-Two Interactive
199,Grand Theft Auto: Vice City Stories,PSP,Action,2006.0,Take-Two Interactive
200,FIFA Soccer 11,PS3,Sports,2010.0,Electronic Arts
201,Super Mario Bros.,GB,Platform,1999.0,Nintendo
202,Resident Evil,PS,Action,1996.0,Virgin Interactive
203,Tony Hawk's Pro Skater,PS,Sports,1999.0,Activision
204,Super Smash Bros. for Wii U and 3DS,WiiU,Fighting,2014.0,Nintendo
205,Warzone 2100,PS,Strategy,1999.0,Eidos Interactive
206,Spyro the Dragon,PS,Platform,1998.0,Sony Computer Entertainment
207,Link's Crossbow Training,Wii,Shooter,2007.0,Nintendo
208,Guitar Hero III: Legends of Rock,PS2,Misc,2007.0,Activision
209,Fallout 3,X360,Role-Playing,2008.0,Bethesda Softworks
210,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,Role-Playing,2007.0,Nintendo
211,Uncharted: Drake's Fortune,PS3,Action,2007.0,Sony Computer Entertainment
212,Madden NFL 06,PS2,Sports,2005.0,Electronic Arts
213,LEGO Star Wars: The Complete Saga,DS,Action,2007.0,LucasArts
214,Diddy Kong Racing,N64,Racing,1997.0,Nintendo
215,Monster Hunter Freedom 3,PSP,Role-Playing,2010.0,Capcom
216,Dr. Mario,NES,Puzzle,1990.0,Nintendo
217,God of War III,PS3,Action,2010.0,Sony Computer Entertainment
218,StarCraft II: Wings of Liberty,PC,Strategy,2010.0,Activision
219,Assassin's Creed,PS3,Adventure,2007.0,Ubisoft
220,FIFA 15,PS3,Sports,2014.0,Electronic Arts
221,Crash Team Racing,PS,Racing,1999.0,Sony Computer Entertainment
222,FIFA 17,PS4,Sports,2016.0,Electronic Arts
223,Batman: Arkham City,X360,Action,2011.0,Warner Bros. Interactive Entertainment
224,Driver 2,PS,Action,2000.0,Atari
225,The Simpsons: Hit & Run,PS2,Racing,2003.0,Vivendi Games
226,Tony Hawk's Pro Skater 2,PS,Sports,2000.0,Activision
227,Animal Crossing: City Folk,Wii,Simulation,2008.0,Nintendo
228,The Lord of the Rings: The Two Towers,PS2,Action,2002.0,Electronic Arts
229,Forza Motorsport 4,X360,Racing,2011.0,Microsoft Game Studios
230,Tomb Raider,PS,Action,1996.0,Eidos Interactive
231,Guitar Hero III: Legends of Rock,Wii,Misc,2007.0,Activision
232,The Legend of Zelda: A Link to the Past,SNES,Action,1991.0,Nintendo
233,The Legend of Zelda: The Wind Waker,GC,Action,2002.0,Nintendo
234,Mario & Sonic at the Olympic Winter Games,Wii,Sports,2009.0,Sega
235,Luigi's Mansion: Dark Moon,3DS,Action,2013.0,Nintendo
236,Splatoon,WiiU,Shooter,2015.0,Nintendo
237,The Last of Us,PS4,Action,2014.0,Sony Computer Entertainment
238,Guitar Hero III: Legends of Rock,X360,Misc,2007.0,Activision
239,Madden NFL 2005,PS2,Sports,2004.0,Electronic Arts
240,Pitfall!,2600,Platform,1981.0,Activision
241,Madden NFL 07,PS2,Sports,2006.0,Electronic Arts
242,Spider-Man: The Movie,PS2,Action,2002.0,Activision
243,Dragon Quest VII: Warriors of Eden,PS,Role-Playing,2000.0,Enix Corporation
244,Uncharted: The Nathan Drake Collection,PS4,Action,2015.0,Sony Computer Entertainment
245,Call of Duty: Advanced Warfare,PS3,Shooter,2014.0,Activision
246,God of War,PS2,Action,2005.0,Sony Computer Entertainment
247,Nintendo Land,WiiU,Misc,2012.0,Nintendo
248,Michael Jackson: The Experience,Wii,Misc,2010.0,Ubisoft
249,Tony Hawk's Pro Skater 3,PS2,Sports,2001.0,Activision
250,Winning Eleven: Pro Evolution Soccer 2007,PS2,Sports,2006.0,Konami Digital Entertainment
251,The Elder Scrolls IV: Oblivion,X360,Role-Playing,2006.0,Take-Two Interactive
252,Zelda II: The Adventure of Link,NES,Adventure,1987.0,Nintendo
253,Need for Speed: Most Wanted,PS2,Racing,2005.0,Electronic Arts
254,Resistance: Fall of Man,PS3,Shooter,2006.0,Sony Computer Entertainment
255,Sonic the Hedgehog,GEN,Platform,1991.0,Sega
256,Kingdom Hearts II,PS2,Role-Playing,2005.0,Square Enix
257,FIFA 14,X360,Sports,2013.0,Electronic Arts
258,Call of Duty: Advanced Warfare,X360,Shooter,2014.0,Activision
259,Asteroids,2600,Shooter,1980.0,Atari
260,Fable II,X360,Role-Playing,2008.0,Microsoft Game Studios
261,Halo 5: Guardians,XOne,Shooter,2015.0,Microsoft Game Studios
262,Super Mario 3D World,WiiU,Platform,2013.0,Nintendo
263,Batman: Arkham Asylum,PS3,Action,2009.0,Eidos Interactive
264,Assassin's Creed: Revelations,PS3,Action,2011.0,Ubisoft
265,Namco Museum,GBA,Misc,2001.0,Namco Bandai Games
266,Metal Gear Solid 3: Snake Eater,PS2,Action,2004.0,Konami Digital Entertainment
267,Daxter,PSP,Platform,2006.0,Sony Computer Entertainment
268,Warcraft II: Tides of Darkness,PC,Strategy,1995.0,Activision
269,The Legend of Zelda: Ocarina of Time,3DS,Action,2011.0,Nintendo
270,FIFA Soccer 06,PS2,Sports,2005.0,Electronic Arts
271,EyeToy Play,PS2,Misc,2003.0,Sony Computer Entertainment
272,Uncharted 4: A Thief's End,PS4,Shooter,2016.0,Sony Computer Entertainment
273,Gran Turismo 5 Prologue,PS3,Racing,2007.0,Sony Computer Entertainment
274,Assassin's Creed: Revelations,X360,Action,2011.0,Ubisoft
275,Street Fighter IV,PS3,Fighting,2009.0,Capcom
276,FIFA 12,X360,Sports,2011.0,Electronic Arts
277,Teenage Mutant Ninja Turtles,NES,Action,1989.0,Palcom
278,Excitebike,NES,Racing,1984.0,Nintendo
279,Frogger,PS,Action,1997.0,Hasbro Interactive
280,Madden NFL 2003,PS2,Sports,2002.0,Electronic Arts
281,Watch Dogs,PS4,Action,2014.0,Ubisoft
282,Half-Life,PC,Shooter,1997.0,Vivendi Games
283,Super Mario World 2: Yoshi's Island,SNES,Platform,1995.0,Nintendo
284,FIFA Soccer 07,PS2,Sports,2006.0,Electronic Arts
285,The Legend of Zelda: Skyward Sword,Wii,Action,2011.0,Nintendo
286,Street Fighter II Turbo,SNES,Fighting,1992.0,Capcom
287,Carnival Games,Wii,Misc,2007.0,Take-Two Interactive
288,Fallout 4,XOne,Role-Playing,2015.0,Bethesda Softworks
289,World of Warcraft: The Burning Crusade,PC,Role-Playing,2007.0,Activision
290,Fallout: New Vegas,X360,Role-Playing,2010.0,Bethesda Softworks
291,God of War II,PS2,Action,2007.0,Sony Computer Entertainment
292,Forza Motorsport 2,X360,Racing,2007.0,Microsoft Game Studios
293,World Soccer Winning Eleven 9,PS2,Sports,2005.0,Konami Digital Entertainment
294,Namco Museum Vol.3,PS,Misc,1996.0,Sony Computer Entertainment
295,Tekken Tag Tournament,PS2,Fighting,2000.0,Namco Bandai Games
296,Far Cry 4,PS4,Shooter,2014.0,Ubisoft
297,Star Fox 64,N64,Shooter,1997.0,Nintendo
298,Minecraft,PS4,Misc,2014.0,Sony Computer Entertainment Europe
299,Golf,NES,Sports,1984.0,Nintendo
300,Fallout 3,PS3,Role-Playing,2008.0,Bethesda Softworks
301,Professor Layton and the Diabolical Box,DS,Puzzle,2007.0,Nintendo
302,Left 4 Dead 2,X360,Shooter,2009.0,Electronic Arts
303,Namco Museum: 50th Anniversary,PS2,Misc,2005.0,Namco Bandai Games
304,EA Sports Active,Wii,Sports,2009.0,Electronic Arts
305,Assassin's Creed: Unity,PS4,Action,2014.0,Ubisoft
306,Donkey Kong Land,GB,Platform,1994.0,Nintendo
307,Tony Hawk's Underground,PS2,Sports,2003.0,Activision
308,Assassin's Creed IV: Black Flag,PS3,Action,2013.0,Ubisoft
309,Monster Hunter 4 Ultimate,3DS,Role-Playing,2014.0,Nintendo
310,MotorStorm,PS3,Racing,2006.0,Sony Computer Entertainment
311,The Elder Scrolls V: Skyrim,PC,Role-Playing,2011.0,Bethesda Softworks
312,Tekken 5,PS2,Fighting,2005.0,Namco Bandai Games
313,Dragon Warrior III,NES,Role-Playing,1988.0,Enix Corporation
314,Sports Champions,PS3,Sports,2010.0,Sony Computer Entertainment
315,NBA 2K16,PS4,Sports,2015.0,Take-Two Interactive
316,World Soccer Winning Eleven 8 International,PS2,Sports,2004.0,Konami Digital Entertainment
317,Flash Focus: Vision Training in Minutes a Day,DS,Misc,2007.0,Nintendo
318,Namco Museum Vol.1,PS,Misc,1995.0,Sony Computer Entertainment
319,The Legend of Zelda: Link's Awakening,GB,Action,1992.0,Nintendo
320,Mario & Luigi: Bowser's Inside Story,DS,Role-Playing,2009.0,Nintendo
321,Big Brain Academy: Wii Degree,Wii,Misc,2007.0,Nintendo
322,Nintendogs + cats,3DS,Simulation,2011.0,Nintendo
323,Batman: Arkham Knight,PS4,Action,2015.0,Warner Bros. Interactive Entertainment
324,Mario & Sonic at the London 2012 Olympic Games,Wii,Sports,2011.0,Sega
325,LEGO Indiana Jones: The Original Adventures,X360,Action,2008.0,Activision
326,Resident Evil Director's Cut,PS,Action,1996.0,Virgin Interactive
327,Ratchet & Clank: Size Matters,PSP,Platform,2007.0,Sony Computer Entertainment
328,Just Dance 2014,Wii,Misc,2013.0,Ubisoft
329,The Sims: Unleashed,PC,Simulation,2002.0,Electronic Arts
330,Super Paper Mario,Wii,Platform,2007.0,Nintendo
331,Harry Potter and the Sorcerer's Stone,PS,Action,2001.0,Electronic Arts
332,The Witcher 3: Wild Hunt,PS4,Role-Playing,2015.0,Namco Bandai Games
333,Resident Evil 3: Nemesis,PS,Action,1999.0,Eidos Interactive
334,Spyro: Year of the Dragon,PS,Platform,2000.0,Sony Computer Entertainment
335,FIFA Soccer 2005,PS2,Sports,2004.0,Electronic Arts
336,Pokémon Trading Card Game,GB,Strategy,1998.0,Nintendo
337,Battlefield 4,PS3,Shooter,2013.0,Electronic Arts
338,MySims,DS,Simulation,2007.0,Electronic Arts
339,Friend Collection,DS,Misc,2009.0,Nintendo
340,Tony Hawk's Pro Skater 4,PS2,Sports,2002.0,Activision
341,Midnight Club 3: DUB Edition,PSP,Racing,2005.0,Take-Two Interactive
342,Banjo-Kazooie,N64,Platform,1998.0,Nintendo
343,SOCOM: U.S. Navy SEALs,PS2,Shooter,2002.0,Sony Computer Entertainment
344,Guitar Hero: World Tour,Wii,Misc,2008.0,Activision
345,Gran Turismo 6,PS3,Racing,2013.0,Sony Computer Entertainment
346,Jak and Daxter: The Precursor Legacy,PS2,Platform,2001.0,Sony Computer Entertainment
347,Pokemon Snap,N64,Simulation,1999.0,Nintendo
348,FIFA Soccer 10,PS3,Sports,2009.0,Electronic Arts
349,Pro Evolution Soccer 2008,PS2,Sports,2007.0,Konami Digital Entertainment
350,Call of Duty: Ghosts,PS4,Shooter,2013.0,Activision
351,Resident Evil 4,PS2,Action,2005.0,Capcom
352,Tom Clancy's The Division,PS4,Shooter,2016.0,Ubisoft
353,Star Wars: Battlefront,PS2,Shooter,2004.0,LucasArts
354,Doom II: Hell on Earth,PC,Shooter,1994.0,Virgin Interactive
355,The Simpsons: Road Rage,PS2,Racing,2001.0,Electronic Arts
356,Cooking Mama 2: Dinner With Friends,DS,Simulation,2007.0,505 Games
357,Luigi's Mansion,GC,Action,2001.0,Nintendo
358,Star Wars: Battlefront II,PS2,Shooter,2005.0,LucasArts
359,WWF SmackDown!,PS,Fighting,2000.0,THQ
360,Croc: Legend of the Gobbos,PS,Platform,1997.0,Fox Interactive
361,Grand Theft Auto: Liberty City Stories,PS2,Action,2006.0,Take-Two Interactive
362,The Getaway,PS2,Action,2002.0,Sony Computer Entertainment
363,Tomb Raider III: Adventures of Lara Croft,PS,Action,1997.0,Eidos Interactive
364,James Bond 007: Agent Under Fire,PS2,Shooter,2001.0,Electronic Arts
365,LEGO Star Wars: The Video Game,PS2,Action,2005.0,Eidos Interactive
366,Battlefield 4,X360,Shooter,2013.0,Electronic Arts
367,FIFA Soccer 11,X360,Sports,2010.0,Electronic Arts
368,Rugrats in Paris: The Movie,PS,Action,2000.0,THQ
369,Spyro 2: Ripto's Rage!,PS,Platform,1999.0,Sony Computer Entertainment
370,Left 4 Dead,X360,Shooter,2008.0,Electronic Arts
371,Mario & Sonic at the Olympic Winter Games,DS,Sports,2009.0,Sega
372,Resident Evil 5,X360,Action,2009.0,Capcom
373,Donkey Kong Country 3: Dixie Kong's Double Trouble!,SNES,Platform,1996.0,Nintendo
374,Assassin's Creed: Brotherhood,X360,Action,2010.0,Ubisoft
375,Kung Fu,NES,Action,1985.0,Nintendo
376,Batman: Arkham Asylum,X360,Action,2009.0,Eidos Interactive
377,Clubhouse Games,DS,Misc,2006.0,Nintendo
379,Star Wars Battlefront (2015),XOne,Shooter,2015.0,Electronic Arts
380,Battlefield: Bad Company 2,X360,Shooter,2010.0,Electronic Arts
381,Guitar Hero: On Tour,DS,Misc,2008.0,Activision
382,Assassin's Creed: Unity,XOne,Action,2014.0,Ubisoft
383,Far Cry 3,PS3,Shooter,2012.0,Ubisoft
384,Monster Hunter 4,3DS,Role-Playing,2013.0,Capcom
385,Borderlands,X360,Shooter,2009.0,Take-Two Interactive
386,Tekken 4,PS2,Fighting,2002.0,Namco Bandai Games
387,Battlefield 4,PS4,Shooter,2013.0,Electronic Arts
388,LittleBigPlanet 2,PS3,Platform,2011.0,Sony Computer Entertainment
389,Grand Theft Auto 2,PS,Action,1998.0,Take-Two Interactive
390,Final Fantasy III,SNES,Role-Playing,1994.0,SquareSoft
391,Spider-Man 2,PS2,Action,2004.0,Activision
392,F-1 Race,GB,Racing,1990.0,Nintendo
393,FIFA Soccer 2003,PS2,Sports,2002.0,Electronic Arts
394,Crash Bash,PS,Misc,2000.0,Sony Computer Entertainment
395,LEGO Batman: The Videogame,X360,Action,2008.0,Warner Bros. Interactive Entertainment
396,Metal Gear Solid V: The Phantom Pain,PS4,Action,2015.0,Konami Digital Entertainment
397,The Legend of Zelda: Spirit Tracks,DS,Action,2009.0,Nintendo
398,WWF War Zone,PS,Fighting,1998.0,Acclaim Entertainment
399,The Legend of Zelda: Majora's Mask,N64,Action,2000.0,Nintendo
400,Professor Layton and the Unwound Future,DS,Puzzle,2008.0,Nintendo
401,Rugrats: Search For Reptar,PS,Adventure,1998.0,THQ
402,Assassin's Creed IV: Black Flag,X360,Action,2013.0,Ubisoft
